"id_link","host_a","host_b","fa_a","fa_b","nms","ne_a","board_a","rack_a","shelf_a","slot_a","port_a","freq_a","ne_b","board_b","rack_b","shelf_b","slot_b","port_b","freq_b"
"1","T-D2-JT2 ","T-D2-CKA","Hu1/6/0/0","Hu0/7/0/3","SBCS","163_SBCS_JTN_00","12LSC","0","1","13","1","192.4","162_SBCS_CKA_00","12LSC","0","3","13","1","192.4"
"2","T-D2-CKA","T-D1-BTC","Hu1/4/0/0","Hu0/2/0/0","SBCS","181_SBCS3R_ST-CKP_00","12LSC","0","0","16","1","192.2","190_SBCS3R_NOC-BMC_00","12LSC","0","0","12","","192.2"
"3","T-D2-CKA","T-D1-BTC","Hu1/7/0/0","Hu0/0/0/0","SBCS","181_SBCS3R_ST-CKP_00","12LSC","0","0","12","1","192.8","190_SBCS3R_NOC-BMC_00","12LSC","0","0","16","","192.8"
"4","T-D1-PUB","T-D1-PBR","Te0/5/0/9","Te0/5/0/9","SBCS","318_SBCS_Ring 1A_PUBA_03","V2T210","0","0","16","2","","288_SBCS_Ring 1A_PKB_02","V2T210","0","0","13","2",""
"5","T-D1-PUB","T-D1-PBR","Te0/2/0/9","Te0/2/0/3","SBCS","318_SBCS_Ring 1A_PUBA_03","V2T210","0","0","16","1","","288_SBCS_Ring 1A_PKB_02","V2T210","0","0","13","1",""
"6","T-D1-PUB","T-D2-CKA","Te0/7/0/1","Te0/11/0/1","SBCS","318_SBCS_Ring 1A_PUBA_03","V2T210","0","0","14","2","192.1","297_SBSC_RING 1A_PDG_00","V2T210","0","0","16","2","192.1"
"7","T-D1-MDC","T-D1-BDS","Te0/0/0/0","Te0/7/0/0","SBCS","272_SBCS_Ring 1A_MDN_02","V2T210","0","0","16","6","","283_SBCS_Ring 1A_DRI_02","V2T210","0","0","13","6",""
"8","T-D1-MDC","T-D1-BDS","Te0/0/2/0","Te0/8/5/0","SBCS","272_SBCS_Ring 1A_MDN_02","V2T210","0","0","16","4","","283_SBCS_Ring 1A_DRI_02","V2T210","0","0","13","4",""
"9","T-D1-MDC","T-D1-BDS","Te0/2/0/0","TE0/14/0/1","SBCS","272_SBCS_Ring 1A_MDN_02","V2T210","0","0","16","9","","283_SBCS_Ring 1A_DRI_02","V2T210","0","0","13","9",""
"10","T-D1-MDC","T-D1-BDS","Te0/5/0/4","Te0/11/0/6","SBCS","272_SBCS_Ring 1A_MDN_02","V2T210","0","0","16","3","","283_SBCS_Ring 1A_DRI_02","V2T210","0","0","13","3",""
