 host_a , host_b , fa_a , fa_b , nms , ne_a , board_a , rack_a , shelf_a , slot_a , port_a , freq_a , ne_b , board_b , rack_b , shelf_b , slot_b , port_b , freq_b 
 ME5-D1-MDC , ME-D1-LGSA ,1/1/1,1/2/1,SBCS,583_RING_1B_MDN_00,TQX,,2,14,3,,580_RING_1B_LGS_00,52TQX,,2,14,2,
 ME5-D1-MDC , ME-D1-LGSA ,7/1/5,3/2/2,SBCS,601_RING_1B_MDN_01,55TQX(STND),,0,5,3,193.1,600_RING_1B_LGS_01,55TQX(STND),,0,5,4,
 ME5-D1-MDC , ME-D1-LGSA ,8/1/1,3/1/1,SBCS,583_RING_1B_MDN_00,TQX,,2,14,4,,580_RING_1B_LGS_00,52TQX,,2,14,4,
 ME5-D1-MDC , ME-D1-LGSA ,9/2/1,4/2/1,SBCS,583_RING_1B_MDN_00,TQX,,3,11,4,,580_RING_1B_LGS_00,52TQX,,2,13,1,
 ME5-D1-MDC , ME-D1-TBTA ,7/2/5,3/2/2,JASUKA,NSN_7500_MDN-06,OCR10TV5,,141,8,1,193.6,NSN_7500_TBT-05,OCR10TV5,,141,9,1,193.6
 ME5-D1-MDC , ME-D1-TBTA ,9/1/4,3/1/2,JASUKA,NSN_7500_MDN-06,OCR10TV5,,141,7,1,193.3,NSN_7500_TBT-05,OCR10TV5,,141,11,1, 193.3 
 ME5-D1-MDC , ME-D1-TBTA ,9/2/2,5/1/2,SBCS,272_SBCS_Ring 1A_MDN_02,V2T210,,0,16,3,,274_SBCS_Ring 1A_TGI_00,V2T210,,0,1,3,
 ME5-D1-MDC , ME2-D1-PUBA ,2/1/1,2/1/1,FO,DIRECT CORE,,,,,,,DIRECT CORE,,,,,,
 ME5-D1-MDC , ME2-D1-PUBA ,6/1/4,8/2/1,FO,DIRECT CORE,,,,,,,DIRECT CORE,,,,,,
 ME5-D1-MDC , ME2-D1-PUBA ,7/2/3,4/1/1,FO,DIRECT CORE,,,,,,,DIRECT CORE,,,,,,
 ME5-D1-MDC , ME2-D1-PUBA ,9/1/2,9/1/1,FO,DIRECT CORE,,,,,,,DIRECT CORE,,,,,,
 ME2-D1-PUBA , ME-D1-KBJA ,1/1/1,2/2/2,SBCS,582_RING_1B_PUBA_00,TQX,,2,11,4,,584_RING_1B_KBJ_00,TQX,,2,14,1,
 ME2-D1-PUBA , ME-D1-KBJA ,6/1/4,3/1/2,SBCS,582_RING_1B_PUBA_00,12TDX,,2,14,2,,584_RING_1B_KBJ_00,TQX,,2,14,3,
 ME2-D1-PUBA , ME-D1-KBJA ,7/1/1,5/1/1,SBCS,582_RING_1B_PUBA_00,52TQX,,2,15,1,,584_RING_1B_KBJ_00,52TQX,,2,11,1,
 ME2-D1-PUBA , ME-D1-KBJA ,9/2/5,2/1/4,SBCS,582_RING_1B_PUBA_00,52TQX,,2,15,2,,584_RING_1B_KBJ_00,52TQX,,2,11,3,
 ME2-D1-PUBA , ME-D1-PMSC ,1/2/2,5/2/2,SBCS,318_SBCS_Ring 1A_PUBA_03,V2T210,,0,14,7,,314_SBCS_Ring 1A_PSR_00,V2T210,,0,1,7,
 ME2-D1-PUBA , ME-D1-PMSC ,7/1/5,4/1/1,SBCS,318_SBCS_Ring 1A_PUBA_03,V2T210,,0,14,4,,314_SBCS_Ring 1A_PSR_00,V2T210,,0,1,4,
 ME2-D1-PUBA , ME-D1-PMSC ,9/1/6,2/1/3,SBCS,318_SBCS_Ring 1A_PUBA_03,V2T210,,0,14,8,,314_SBCS_Ring 1A_PSR_00,V2T210,,0,1,8,
 ME-D1-LGSA , ME-D1-LSMA ,1/2/2,3/1/1,SBCS,580_RING_1B_LGS_00,52TQX,,2,14,1,,578_RING_1B_LSM_00,TQX,,2,14,2,
 ME-D1-LGSA , ME-D1-LSMA ,2/2/1,4/1/1,SBCS,600_RING_1B_LGS_01,55TQX(STND),,0,5,3,,599_RING_1B_LSM_01,55TQX(STND),,0,6,3,
