id_port,nama_nms,nama_lokasi,id_merk,nama_ne,rack,shelf,slot,port,board,user,frekuensi,deskripsi
,JASUKA,BATURAJA,3,ONN-X (Baturaja-1),0,2,7,1,I01T10G-1/LH,METRO,193:09:00,TRUNK METRO 10G BTA-LLG #2 (BTA 4/1/1)
,JASUKA,BATURAJA,3,ONN-X (Baturaja-1),0,2,8,1,I01T10G-1/LH,METRO,193:08:00,METRO_E BTRA 1/1/1-LLG 2/2/2
,JASUKA,BATURAJA,3,ONN-X (Baturaja-1),0,2,9,1,I01T10G-1/LH,TSEL,193:07:00,"TSel PG-LHT 193,7 -193,3 muxponder"
,JASUKA,BATURAJA,3,ONN-X (Baturaja-1),0,2,2,1,I01T40G-1/LH,PROTEKSI,194:02:00,DIR.O02CSP_baturaja-3 001.013.03
,JASUKA,BATURAJA,3,ONN-X (Baturaja-1),0,2,10,1,I01T40G-1/LH,IDLE,193:02:00,.....
,JASUKA,BATURAJA,3,ONN-X (Baturaja-1),0,2,12,1,I01T10G-1/LH,TSEL,194:04:00,10G TSEL PG-PADANG BELANTI
,JASUKA,BATURAJA,3,ONN-X (Baturaja-1),0,2,13,1,I01T10G-1/LH,IDLE,192:09:00,.....
,JASUKA,BATURAJA,3,ONN-X (Baturaja-1),0,2,15,1,I01T10G-1/LH,IP,193:01:00,Temporary IP PUBA-BTC
,JASUKA,BATURAJA,3,ONN-X (Baturaja-1),0,3,1,1,I04T40G-1/LH,TELIN,193:06:00,#1TII  JTN-DGS; | 
,JASUKA,BATURAJA,3,ONN-X (Baturaja-1),0,3,1,2,I04T40G-1/LH,CNOP,193:06:00,P2 CNOP 10G BLT-(PG) DLD-1| 
,JASUKA,BATURAJA,3,ONN-X (Baturaja-1),0,3,1,3,I04T40G-1/LH,IDLE,193:06:00,#3-LOOP IDLE |
,JASUKA,BATURAJA,3,ONN-X (Baturaja-1),0,3,1,4,I04T40G-1/LH,CNOP,193:06:00,P4 CNOP 10G BLT-(PG) DLD-2 PT HW 192.2 P6|
,JASUKA,BATURAJA,3,ONN-X (Baturaja-1),0,3,3,1,I01T10G-1/LH,METRO,193:05:00,PROPOSE TRUNK METRO BTRA-TAMA 10G
,JASUKA,BATURAJA,3,ONN-X (Baturaja-1),0,4,1,1,I10T100G-2/CQP,IDLE,193:07:00,...
,JASUKA,BATURAJA,3,ONN-X (Baturaja-1),0,4,1,2,I10T100G-2/CQP,IDLE,193:07:00,...
,JASUKA,BATURAJA,3,ONN-X (Baturaja-1),0,4,1,3,I10T100G-2/CQP,IDLE,193:07:00,...
,JASUKA,BATURAJA,3,ONN-X (Baturaja-1),0,4,1,4,I10T100G-2/CQP,IDLE,193:07:00,...
,JASUKA,BATURAJA,3,ONN-X (Baturaja-1),0,4,1,5,I10T100G-2/CQP,IDLE,193:07:00,...
,JASUKA,BATURAJA,3,ONN-X (Baturaja-1),0,4,1,6,I10T100G-2/CQP,IDLE,193:07:00,...
,JASUKA,BATURAJA,3,ONN-X (Baturaja-1),0,4,1,7,I10T100G-2/CQP,METRO,193:07:00,P7 ME-BTRA 4/1/1-LLG 5/1/2|
,JASUKA,BATURAJA,3,ONN-X (Baturaja-1),0,4,1,8,I10T100G-2/CQP,IDLE,193:07:00,...
,JASUKA,BATURAJA,3,ONN-X (Baturaja-1),0,4,1,9,I10T100G-2/CQP,METRO,193:07:00,P9 ME-BTRA-1/2/2 - ME-LLGA-5/1/2|
,JASUKA,BATURAJA,3,ONN-X (Baturaja-1),0,4,1,10,I10T100G-2/CQP,IDLE,193:07:00,...
,JASUKA,TANJUNG ENIM,3,ONN-X (TJ.Enim),0,1,9,1,I01T10G-1/LH,TSEL,193:07:00,TELKOMSEL STM-16 TLK-PD
,JASUKA,TANJUNG ENIM,3,ONN-X (TJ.Enim),0,2,7,1,I01T10G-1/LH,TSEL,193:07:00,TELKOMSEL STM-16 TLK-PD
,JASUKA,TANJUNG ENIM,3,ONN-X (TJ.Enim),0,2,8,1,I01T10G-1/LH,METRO,193:05:00,PROPOSE TRUNK METRO BTRA-TAMA 10G
,JASUKA,LAHAT,3,ONN-X (Lahat),0,1,10,1,I08T10G-1/LH,IDLE,194:00:00,.....
,JASUKA,LAHAT,3,ONN-X (Lahat),0,1,12,1,I01T10G-1/LH,TSEL,193:07:00,TELKOMSEL STM-16 TLK-PD
,JASUKA,LAHAT,3,ONN-X (Lahat),0,2,6,1,I08T10G-1/LH,IDLE,194:00:00,.....
,JASUKA,LAHAT,3,ONN-X (Lahat),0,2,8,1,I01T10G-1/LH,TSEL,193:07:00,TELKOMSEL STM-16 TLK-PD
,JASUKA,TEBING TINGGI ,3,ONN-X (TB.Tinggi) ,0,1,9,1,I01T10G-1/LH,TSEL,193:07:00,TELKOMSEL STM-16 TLK-PD
,JASUKA,TEBING TINGGI ,3,ONN-X (TB.Tinggi) ,0,2,6,1,I01T10G-1/LH,TSEL,193:07:00,TELKOMSEL STM-16 TLK-PD
,JASUKA,LUBUK LINGGAU,3,ONN-X (Lubuk Linggau) ,0,1,12,1,I01T10G-1/LH,METRO,194:04:00,METRO_E MBO(2/2/2) to LLG(5/2/2)
,JASUKA,LUBUK LINGGAU,3,ONN-X (Lubuk Linggau) ,0,1,13,1,I01T10G-1/LH,IDLE,194:03:00,-
,JASUKA,LUBUK LINGGAU,3,ONN-X (Lubuk Linggau) ,0,1,14,1,I01T10G-1/LH,IDLE,194:01:00,-
,JASUKA,LUBUK LINGGAU,3,ONN-X (Lubuk Linggau) ,0,2,8,1,I01T10G-1/LH,IDLE,194:03:00,-
,JASUKA,LUBUK LINGGAU,3,ONN-X (Lubuk Linggau) ,0,2,9,1,I01T40G-1/DP,,194:02:00,facing BTA
,JASUKA,LUBUK LINGGAU,3,ONN-X (Lubuk Linggau) ,0,2,13,1,I01T10G-1/LH,METRO,193:09:00,ME2-D1-MABA 2/1/1 -- ME-D1-LLGA 1/2/2
,JASUKA,LUBUK LINGGAU,3,ONN-X (Lubuk Linggau) ,0,2,15,1,I01T10G-1/LH,METRO,193:08:00,METRO_E BTRA 1/1/1-LLG 2/2/2
,JASUKA,LUBUK LINGGAU,3,ONN-X (Lubuk Linggau) ,0,3,10,1,I01T10G-1/LH,TSEL,194:00:00,TSEL PD-TLK (STM 16) UPGRADE STM 64 (Januari 2013)
,JASUKA,LUBUK LINGGAU,3,ONN-X (Lubuk Linggau) ,0,3,11,1,I01T10G-1/LH,TSEL,193:09:00,TELSEL BN-LLG
,JASUKA,LUBUK LINGGAU,3,ONN-X (Lubuk Linggau) ,0,3,12,1,I01T10G-1/LH,METRO,193:08:00,METRO_E LLGA_3/1/2-BNKC_4/1/2
,JASUKA,LUBUK LINGGAU,3,ONN-X (Lubuk Linggau) ,0,3,13,1,I01T10G-1/LH,METRO,193:07:00,METRO-E TLK-BDL Via JB-MRO-LLG-BN
,JASUKA,LUBUK LINGGAU,3,ONN-X (Lubuk Linggau) ,0,3,14,1,I01T10G-1/LH,,193:00:00,Dir Baturaja
,JASUKA,LUBUK LINGGAU,3,ONN-X (Lubuk Linggau) ,0,3,15,1,I01T10G-1/LH,,193:00:00,Dir Muara Bungo
,JASUKA,LUBUK LINGGAU,3,ONN-X (Lubuk Linggau) ,0,4,1,1,I01T40G-1/DP,IDLE,194:02:00,.....
,JASUKA,LUBUK LINGGAU,3,ONN-X (Lubuk Linggau) ,0,4,3,1,I08T10G-1/LH,IDLE,194:00:00,.....
,JASUKA,LUBUK LINGGAU,3,ONN-X (Lubuk Linggau) ,0,4,5,1,I01T10G-1/LH,METRO,193:09:00,ME2-D1-MABA 2/1/1 -- ME-D1-LLGA 1/2/2
,JASUKA,LUBUK LINGGAU,3,ONN-X (Lubuk Linggau) ,0,4,6,1,I01T10G-1/LH,METRO,193:08:00,ME-D1-LLGA 2/2/1 to ME-D1-MABA 2/1/2
,JASUKA,LUBUK LINGGAU,3,ONN-X (Lubuk Linggau) ,0,4,7,1,I01T10G-1/LH,TSEL,193:07:00,Lambda Lack Capacity TSel 2012 dir Muara Rupit
,JASUKA,LUBUK LINGGAU,3,ONN-X (Lubuk Linggau) ,0,4,8,1,I01T40G-1/DP,IDLE,193:02:00,.....
,JASUKA,LUBUK LINGGAU,3,ONN-X (Lubuk Linggau) ,0,4,10,1,I01T10G-1/LH,TSEL,194:04:00,TSEL PD-TLK (STM 16) UPGRADE STM 64
,JASUKA,LUBUK LINGGAU,3,ONN-X (Lubuk Linggau) ,0,4,11,1,I08T10G-1/LH,IDLE,194:00:00,.....
,JASUKA,LUBUK LINGGAU,3,ONN-X (Lubuk Linggau) ,0,4,13,1,I01T10G-1/LH,TSEL,193:07:00,TELKOMSEL
,JASUKA,LUBUK LINGGAU,3,ONN-X (Lubuk Linggau) ,0,4,14,1,I01T40G-1/DP-I,IDLE,193:02:00,..... 
,JASUKA,LUBUK LINGGAU,3,ONN-X (Lubuk Linggau) ,0,5,1,1,I04T40G-1/DP,METRO,193:06:00,#1.ME BN 5/1/2-LLG 4/1/2 
,JASUKA,LUBUK LINGGAU,3,ONN-X (Lubuk Linggau) ,0,5,1,2,I04T40G-1/DP,CNOP,193:06:00,#2.CNOP 10G BLT-(PG)DLD-1 DIR BN 
,JASUKA,LUBUK LINGGAU,3,ONN-X (Lubuk Linggau) ,0,5,1,3,I04T40G-1/DP,METRO,193:06:00,#3. ME BN 5/2/2-LLG 4/2/2 
,JASUKA,LUBUK LINGGAU,3,ONN-X (Lubuk Linggau) ,0,5,1,4,I04T40G-1/DP,CNOP,193:06:00,#4.CNOP 10G BLT-(PG) DLD-2 DIR BN
,JASUKA,LUBUK LINGGAU,3,ONN-X (Lubuk Linggau) ,0,5,3,1,I04T40G-1/DP,IDLE,193:06:00,#1 IDLE
,JASUKA,LUBUK LINGGAU,3,ONN-X (Lubuk Linggau) ,0,5,3,2,I04T40G-1/DP,CNOP,193:06:00,P2 CNOP 10G BLT-(PG) DLD-1 DIR BN 
,JASUKA,LUBUK LINGGAU,3,ONN-X (Lubuk Linggau) ,0,5,3,3,I04T40G-1/DP,IDLE,193:06:00,#3. IDLE 
